StudentID,Name,Age,Score,Status
1,Student_1,,62.0,Pass
2,Student_2,22.0,49.0,Fail
3,Student_3,19.0,90.0,Pass
4,Student_4,18.0,95.0,Fail
5,Student_5,24.0,43.0,Pass
6,Student_6,24.0,47.0,Fail
7,Student_7,21.0,63.0,Pass
8,Student_8,20.0,47.0,Fail
9,Student_9,21.0,76.0,Pass
10,Student_10,18.0,96.0,Fail
11,Student_11,,62.0,Pass
12,Student_12,22.0,42.0,Fail
13,Student_13,19.0,55.0,Pass
14,Student_14,19.0,83.0,Fail
15,Student_15,20.0,76.0,Pass
16,Student_16,24.0,,Fail
17,Student_17,18.0,96.0,Pass
18,Student_18,22.0,,Fail
19,Student_19,,87.0,Pass
20,Student_20,20.0,46.0,Fail
21,Student_21,19.0,,Pass
22,Student_22,20.0,82.0,Fail
23,Student_23,,48.0,Pass
24,Student_24,21.0,59.0,Fail
25,Student_25,24.0,44.0,Pass
26,Student_26,24.0,,Fail
27,Student_27,20.0,56.0,Pass
28,Student_28,20.0,63.0,Fail
29,Student_29,22.0,49.0,Pass
30,Student_30,19.0,55.0,Fail
31,Student_31,,79.0,Pass
32,Student_32,18.0,91.0,Fail
33,Student_33,21.0,85.0,Pass
34,Student_34,,98.0,Fail
35,Student_35,21.0,68.0,Pass
36,Student_36,19.0,86.0,Fail
37,Student_37,18.0,73.0,Pass
38,Student_38,19.0,,Fail
39,Student_39,21.0,95.0,Pass
40,Student_40,,99.0,Fail
41,Student_41,23.0,78.0,Pass
42,Student_42,23.0,54.0,Fail
43,Student_43,21.0,71.0,Pass
44,Student_44,24.0,65.0,Fail
45,Student_45,,97.0,Pass
46,Student_46,,52.0,Fail
47,Student_47,20.0,79.0,Pass
48,Student_48,21.0,42.0,Fail
49,Student_49,24.0,42.0,Pass
50,Student_50,18.0,80.0,Fail
51,Student_51,23.0,61.0,Pass
52,Student_52,19.0,94.0,Fail
53,Student_53,22.0,85.0,Pass
54,Student_54,,95.0,Fail
55,Student_55,23.0,,Pass
56,Student_56,23.0,,Fail
57,Student_57,21.0,,Pass
58,Student_58,21.0,92.0,Fail
59,Student_59,21.0,44.0,Pass
60,Student_60,19.0,,Fail
61,Student_61,20.0,96.0,Pass
62,Student_62,20.0,99.0,Fail
63,Student_63,23.0,59.0,Pass
64,Student_64,18.0,55.0,Fail
65,Student_65,24.0,55.0,Pass
66,Student_66,24.0,,Fail
67,Student_67,23.0,,Pass
68,Student_68,24.0,72.0,Fail
69,Student_69,20.0,81.0,Pass
70,Student_70,18.0,94.0,Fail
71,Student_71,,97.0,Pass
72,Student_72,23.0,40.0,Fail
73,Student_73,24.0,67.0,Pass
74,Student_74,,84.0,Fail
75,Student_75,22.0,41.0,Pass
76,Student_76,24.0,99.0,Fail
77,Student_77,20.0,99.0,Pass
78,Student_78,21.0,66.0,Fail
79,Student_79,21.0,45.0,Pass
80,Student_80,18.0,,Fail
81,Student_81,,73.0,Pass
82,Student_82,21.0,69.0,Fail
83,Student_83,22.0,76.0,Pass
84,Student_84,,47.0,Fail
85,Student_85,22.0,73.0,Pass
86,Student_86,24.0,41.0,Fail
87,Student_87,18.0,77.0,Pass
88,Student_88,24.0,,Fail
89,Student_89,22.0,55.0,Pass
90,Student_90,20.0,66.0,Fail
91,Student_91,,66.0,Pass
92,Student_92,21.0,89.0,Fail
93,Student_93,22.0,72.0,Pass
94,Student_94,18.0,,Fail
95,Student_95,24.0,84.0,Pass
96,Student_96,23.0,76.0,Fail
97,Student_97,20.0,43.0,Pass
98,Student_98,21.0,82.0,Fail
99,Student_99,20.0,43.0,Pass
100,Student_100,23.0,,Fail
