StudentID,Name,Age,Score,Status
1,Student_1,,77.0,Pass
2,Student_2,22.0,95.0,Fail
3,Student_3,22.0,96.0,Pass
4,Student_4,21.0,53.0,Fail
5,Student_5,18.0,85.0,Pass
6,Student_6,21.0,41.0,Fail
7,Student_7,21.0,66.0,Pass
8,Student_8,18.0,63.0,Fail
9,Student_9,21.0,75.0,Pass
10,Student_10,18.0,58.0,Fail
11,Student_11,,92.0,Pass
12,Student_12,22.0,52.0,Fail
13,Student_13,20.0,55.0,Pass
14,Student_14,24.0,47.0,Fail
15,Student_15,18.0,56.0,Pass
16,Student_16,23.0,,Fail
17,Student_17,23.0,51.0,Pass
18,Student_18,21.0,,Fail
19,Student_19,,92.0,Pass
20,Student_20,23.0,47.0,Fail
21,Student_21,18.0,,Pass
22,Student_22,19.0,85.0,Fail
23,Student_23,,83.0,Pass
24,Student_24,19.0,58.0,Fail
25,Student_25,24.0,55.0,Pass
26,Student_26,23.0,,Fail
27,Student_27,18.0,43.0,Pass
28,Student_28,24.0,56.0,Fail
29,Student_29,24.0,62.0,Pass
30,Student_30,22.0,48.0,Fail
31,Student_31,,73.0,Pass
32,Student_32,23.0,47.0,Fail
33,Student_33,19.0,73.0,Pass
34,Student_34,,95.0,Fail
35,Student_35,23.0,91.0,Pass
36,Student_36,20.0,55.0,Fail
37,Student_37,20.0,88.0,Pass
38,Student_38,22.0,,Fail
39,Student_39,23.0,47.0,Pass
40,Student_40,,74.0,Fail
41,Student_41,18.0,64.0,Pass
42,Student_42,19.0,95.0,Fail
43,Student_43,18.0,58.0,Pass
44,Student_44,19.0,94.0,Fail
45,Student_45,,54.0,Pass
46,Student_46,,50.0,Fail
47,Student_47,24.0,43.0,Pass
48,Student_48,23.0,60.0,Fail
49,Student_49,22.0,95.0,Pass
50,Student_50,18.0,81.0,Fail
51,Student_51,18.0,82.0,Pass
52,Student_52,24.0,63.0,Fail
53,Student_53,24.0,43.0,Pass
54,Student_54,,83.0,Fail
55,Student_55,20.0,,Pass
56,Student_56,19.0,,Fail
57,Student_57,23.0,,Pass
58,Student_58,18.0,84.0,Fail
59,Student_59,24.0,63.0,Pass
60,Student_60,22.0,,Fail
61,Student_61,19.0,44.0,Pass
62,Student_62,24.0,75.0,Fail
63,Student_63,19.0,97.0,Pass
64,Student_64,21.0,57.0,Fail
65,Student_65,24.0,91.0,Pass
66,Student_66,19.0,,Fail
67,Student_67,20.0,,Pass
68,Student_68,20.0,62.0,Fail
69,Student_69,18.0,63.0,Pass
70,Student_70,20.0,75.0,Fail
71,Student_71,,81.0,Pass
72,Student_72,18.0,61.0,Fail
73,Student_73,19.0,79.0,Pass
74,Student_74,,71.0,Fail
75,Student_75,23.0,59.0,Pass
76,Student_76,24.0,80.0,Fail
77,Student_77,19.0,96.0,Pass
78,Student_78,20.0,78.0,Fail
79,Student_79,24.0,76.0,Pass
80,Student_80,20.0,,Fail
81,Student_81,,93.0,Pass
82,Student_82,23.0,42.0,Fail
83,Student_83,18.0,81.0,Pass
84,Student_84,,55.0,Fail
85,Student_85,19.0,95.0,Pass
86,Student_86,20.0,48.0,Fail
87,Student_87,22.0,69.0,Pass
88,Student_88,21.0,,Fail
89,Student_89,21.0,83.0,Pass
90,Student_90,19.0,93.0,Fail
91,Student_91,,95.0,Pass
92,Student_92,24.0,41.0,Fail
93,Student_93,24.0,41.0,Pass
94,Student_94,21.0,,Fail
95,Student_95,21.0,69.0,Pass
96,Student_96,22.0,98.0,Fail
97,Student_97,21.0,56.0,Pass
98,Student_98,24.0,46.0,Fail
99,Student_99,24.0,73.0,Pass
100,Student_100,18.0,,Fail
